filenumber,step,mini,maxi,ignored,accepted,A,f₀,γ,bg,intensity
10,1,3.814954881389146e14,3.815250514180893e14,Int64[],true,153499.26343124872,3.815101473044443e14,9.693936289513849e8,413.15763934951065,219.26020016323554
10,2,3.814955447977348e14,3.815249138010183e14,Int64[],true,151535.69985944006,3.8151013242813906e14,9.618511363636807e8,491.1667824998167,219.26020016323554
11,0,3.814954798042531e14,3.815248176669239e14,Int64[],true,155662.00050643506,3.8151018630675244e14,1.2929667484155717e9,1064.8481907067799,438.5204003264711
11,1,3.814953269834482e14,3.815246747465743e14,Int64[],true,154559.34893159496,3.815104805907019e14,1.360615388973939e9,737.4339274954909,438.5204003264711
11,2,3.814951974725206e14,3.815245457894431e14,Int64[],true,155647.75679013753,3.815105685405887e14,1.3734362139292896e9,613.1666065391873,438.5204003264711
12,0,3.814951461007706e14,3.815244654789019e14,Int64[],true,158316.36111776918,3.8151057049592944e14,1.9987534543755276e9,718.4094977131936,877.0408006529422
12,1,3.814949816160749e14,3.815243108140199e14,Int64[],true,155727.40810325253,3.8151046330246325e14,1.9345446502990186e9,1315.6181181767097,877.0408006529422
12,2,3.814948700856534e14,3.815241967009264e14,Int64[],true,157220.52391967017,3.815104567395032e14,2.0015828969479861e9,721.3837158054121,877.0408006529422
13,0,3.814947968226848e14,3.815240871847397e14,Int64[],true,157530.04775915734,3.815104073533773e14,2.8460929449752684e9,1748.0140069149784,1754.0816013058843
13,1,3.814946215732697e14,3.815239401041789e14,Int64[],true,157137.7417937797,3.8151063599048075e14,2.7746545076167974e9,2046.6313943414643,1754.0816013058843
13,2,3.814944978663111e14,3.815238190255116e14,Int64[],true,157000.1600200147,3.8151053824738375e14,2.7965902472171297e9,2033.2416359872586,1754.0816013058843
14,0,3.814894300324926e14,3.815481246397498e14,Int64[],true,153845.8229007007,3.8151169225771156e14,4.718140297492127e9,4404.889860895426,3425.9406275505544
14,1,3.814892554872762e14,3.815480117460293e14,Int64[],true,153201.93350806955,3.8151156665110006e14,4.517522904767628e9,5103.677987459545,3425.9406275505544
14,2,3.814891851864806e14,3.815479134493179e14,Int64[],true,151588.5594085709,3.8151189019371944e14,4.6325437747575865e9,4851.513856552592,3425.9406275505544
15,0,3.814889867625987e14,3.815473006427406e14,Int64[],true,146880.2027082625,3.815115175955313e14,6.939260914402958e9,9836.430197829548,6934.103830162324
15,1,3.814900720152607e14,3.815488384485909e14,Int64[],true,144796.63348012566,3.81512011998861e14,6.975172612703485e9,9975.745834629946,6934.103830162324
15,2,3.814899410008796e14,3.815487627246707e14,Int64[],true,145742.7275242777,3.815119358927516e14,6.952314456091934e9,9850.802082327624,6934.103830162324
16,0,3.814901061665171e14,3.815488033592002e14,Int64[],true,129710.06537151785,3.8151191631930844e14,1.1366415415045734e10,20507.492237359067,13703.762510202218
16,1,3.814898655063208e14,3.815486623504101e14,Int64[],true,130363.68935034504,3.815119230015908e14,1.1622345959337833e10,18967.017484644464,13703.762510202218
16,2,3.814897751694869e14,3.815485596888596e14,Int64[],true,130844.74740537316,3.815118201334581e14,1.1460556010806507e10,19248.085245920345,13703.762510202218
17,0,3.81489833365051e14,3.81548549378752e14,Int64[],true,102110.16807150896,3.815119907960285e14,2.0172189143482784e10,37596.029366069575,27407.525020404435
17,1,3.814896806797541e14,3.815484329046572e14,Int64[],true,102004.94986037383,3.815116322562488e14,2.003414970909666e10,38064.307092006726,27407.525020404435
17,2,3.814895261366063e14,3.815483442641256e14,Int64[],true,102910.94274016758,3.815116971652693e14,2.011567036718133e10,36854.72905842564,27407.525020404435
18,0,3.814896376755241e14,3.815483669001541e14,Int64[],true,55030.220961105064,3.815129319422756e14,3.118113665951666e10,72028.82673430562,54815.05004080887
18,1,3.81489420062318e14,3.815482403064833e14,Int64[],true,52295.29086759245,3.815122456557916e14,3.0629493082403816e10,74011.95021328548,54815.05004080887
18,2,3.814893219778214e14,3.815481281284112e14,Int64[],true,55589.26806435388,3.815123281092755e14,3.0471713600682602e10,71734.27701505563,54815.05004080887
