filenumber,step,mini,maxi,ignored,accepted,A,f₀,γ,bg,intensity
13,1,1.0e10,3.5e10,Int64[],true,6309.546082318548,2.218800117024675e10,5.124607399968947e8,306.78556647717727,937.3895605073949
13,2,1.0e10,3.5e10,Int64[],true,6240.303179642919,2.2200736245439915e10,5.50536313403904e8,291.334723053706,937.3895605073949
14,0,1.0e10,3.5e10,Int64[],true,6305.098911106725,2.1867935542782513e10,7.322575335964956e8,531.5910692219203,1830.8389853660053
14,1,1.0e10,3.5e10,Int64[],true,6223.594446646145,2.1751571343764164e10,7.712080185848653e8,532.1006770821854,1830.8389853660053
14,2,1.0e10,3.5e10,Int64[],true,5294.947007199973,2.1361307484532295e10,6.378892760079852e8,580.5572914742282,1830.8389853660053
15,0,1.0e10,3.5e10,Int64[],true,6329.942296883499,2.069793573890918e10,1.036520176892499e9,1045.9796326312958,3661.6779707320106
15,1,1.0e10,3.5e10,Int64[],true,6131.310906914632,2.0552635967032192e10,1.068649415772124e9,1022.4253923557686,3661.6779707320106
15,2,1.0e10,3.5e10,Int64[],true,6175.60747736925,2.081177008088214e10,1.076710110755069e9,1015.1699780223053,3661.6779707320106
16,0,1.0e10,3.5e10,Int64[],true,5411.354438752568,1.9746090456706005e10,1.4732740424479733e9,1899.4988309403932,7323.355941464021
16,1,1.0e10,3.5e10,Int64[],true,6085.577620220537,1.9557937279378613e10,1.6241417516383803e9,1852.397721175121,7323.355941464021
16,2,1.0e10,3.5e10,Int64[],true,6046.410274001181,1.951165673940191e10,1.563847459788822e9,1851.0960031738352,7323.355941464021
17,0,0.0,3.5e10,Int64[],true,5957.441016320794,1.7245355090279335e10,2.009104544848679e9,3597.960299846204,14646.711882928043
17,1,0.0,3.5e10,Int64[],true,5947.429478783116,1.634815240897596e10,2.3084146151937575e9,3645.7917353624307,14646.711882928043
17,2,0.0,3.5e10,Int64[],true,6089.322198777857,1.5769695878424473e10,2.1750635517086787e9,3654.6468602856503,14646.711882928043
18,0,0.0,3.5e10,Int64[],true,5406.3900658926095,1.373157063425234e10,3.3341197583167086e9,7171.304861701532,29293.423765856085
18,1,0.0,3.5e10,Int64[],true,5408.389659705145,1.321355121748356e10,3.36804256927137e9,6948.47594159371,29293.423765856085
18,2,0.0,3.5e10,Int64[],true,5671.920009654028,1.2523674441925411e10,3.7432441084827037e9,7387.484863131083,29293.423765856085
19,0,-1.0e10,3.5e10,Int64[],true,4588.534980310486,9.415680930491623e9,5.094312638937877e9,15818.345347194741,58586.84753171217
19,1,-1.0e10,3.5e10,Int64[],true,4908.566106076665,7.392278929259842e9,6.570507833954825e9,15872.734308985706,58586.84753171217
