"Time differences (ps)"	"Counts per bin"
54900	15
55200	9
55500	10
55800	6
56100	10
56400	8
56700	8
57000	5
57300	6
57600	11
57900	9
58200	12
58500	3
58800	7
59100	8
59400	3
59700	13
60000	13
60300	7
60600	7
60900	11
61200	13
61500	7
61800	4
62100	8
62400	13
62700	12
63000	6
63300	5
63600	7
63900	8
64200	5
64500	6
64800	11
65100	10
65400	9
65700	10
66000	6
66300	9
66600	6
66900	2
67200	9
67500	13
67800	13
68100	9
68400	3
68700	6
69000	10
69300	10
69600	5
69900	6
70200	7
70500	9
70800	7
71100	4
71400	6
71700	10
72000	7
72300	4
72600	12
72900	14
73200	11
73500	10
73800	8
74100	3
74400	10
74700	10
75000	4
75300	10
75600	10
75900	10
76200	12
76500	8
76800	6
77100	6
77400	7
77700	8
78000	11
78300	9
78600	12
78900	14
79200	8
79500	15
79800	5
80100	3
80400	5
80700	14
81000	4
81300	6
81600	7
81900	7
82200	10
82500	5
82800	6
83100	11
83400	10
83700	11
84000	9
84300	11
84600	3
84900	16
85200	10
85500	8
85800	8
86100	4
86400	6
86700	7
87000	10
87300	12
87600	6
87900	5
88200	10
88500	7
88800	7
89100	7
89400	9
89700	6
90000	13
90300	11
90600	11
90900	10
91200	17
91500	12
91800	10
92100	15
92400	11
92700	4
93000	3
93300	5
93600	9
93900	15
94200	9
94500	13
94800	8
95100	17
95400	10
95700	10
96000	13
96300	8
96600	8
96900	6
97200	9
97500	9
97800	8
98100	5
98400	6
98700	4
99000	3
99300	5
99600	5
99900	12
100200	11
100500	7
100800	4
101100	9
101400	6
101700	7
102000	11
102300	9
102600	11
102900	8
103200	9
103500	10
103800	6
104100	6
104400	7
104700	7
105000	15
105300	12
105600	5
105900	14
106200	12
106500	12
106800	9
107100	10
107400	6
107700	10
108000	10
108300	7
108600	5
108900	15
109200	7
109500	2
109800	6
110100	4
110400	11
110700	7
111000	4
111300	7
111600	12
111900	5
112200	8
112500	11
112800	12
113100	9
113400	8
113700	9
114000	13
114300	13
114600	4
114900	13
115200	11
115500	12
115800	6
116100	10
116400	3
116700	8
117000	7
117300	6
117600	9
117900	11
118200	3
118500	5
118800	6
119100	11
119400	9
119700	13
120000	8
120300	5
120600	4
120900	9
121200	12
121500	10
121800	8
122100	9
122400	7
122700	8
123000	6
123300	9
123600	7
123900	17
124200	5
124500	4
124800	3
125100	9
125400	10
125700	6
126000	6
126300	6
126600	7
126900	10
127200	10
127500	5
127800	7
128100	11
128400	13
128700	6
129000	11
129300	7
129600	8
129900	7
130200	13
130500	8
130800	7
131100	10
131400	7
131700	9
132000	9
132300	10
132600	8
132900	6
133200	8
133500	4
133800	4
134100	6
134400	9
134700	10
