Temperature [K],Intensity [W/cm²],S,FWHM [Hz],FWHM deph + FWHM0 [Hz],Fluorescence [cps]
5.125226666666666,2.288548731707507,1.3778968895259327,3.057379093037491e8,1.9826807137101778e8,42663.50194801182
5.644654285714283,2.288548731707507,1.255271839831713,4.264885148753887e8,2.839931675750508e8,31634.795080889526
5.6305000000000005,2.288548731707507,1.2686948760424883,4.1296619393287605e8,2.7417411859542924e8,32945.95508515655
5.657500000000001,2.288548731707507,1.255725882048254,4.2525271438407725e8,2.83141763765549e8,31679.603900812115
6.153000000000001,2.288548731707507,1.1670470633776207,5.916120614912347e8,4.0188597265750855e8,22266.41906513171
6.1615,2.288548731707507,1.194472844034579,5.1083765658872074e8,3.4484012867745954e8,25326.932221901327
6.162000000000002,2.288548731707507,1.1626944596839177,5.968769626905804e8,4.058702632297059e8,21767.425372178754
6.677499999999999,2.288548731707507,1.1184153041229739,7.935463196082964e8,5.452136610739055e8,16470.418590345245
6.6795,2.288548731707507,1.1193506358748597,7.786093318969045e8,5.348330015978038e8,16586.642727164028
6.6834999999999996,2.288548731707507,1.1170264891482935,8.087042587959303e8,5.558102916622041e8,16297.485652081572
7.204999999999999,2.288548731707507,1.0845021074125958,1.0719222321333628e9,7.424412772589393e8,12120.960697809725
7.182,2.288548731707507,1.081612523167481,1.0562200725844561e9,7.320731364696466e8,11737.753942172998
7.2125,2.288548731707507,1.0833139387993564,1.0597988862964003e9,7.342536244777132e8,11963.637325319392
7.6359999999999975,2.288548731707507,1.0633964514276697,1.389761460839813e9,9.674954349885314e8,9274.054543358221
7.7509999999999994,2.288548731707507,1.0639003507975098,1.3956982504400306e9,9.71509768248212e8,9343.340873633904
7.703999999999999,2.288548731707507,1.0632156363071397,1.3847134579540706e9,9.640234601224352e8,9249.176393086018
8.223499999999998,2.288548731707507,1.0457964943069076,1.759225526467128e9,1.2299580605707655e9,6812.161820397233
8.2355,2.288548731707507,1.043045580605034,1.7935410062933857e9,1.2547935643067267e9,6419.854510202348
8.244,2.288548731707507,1.0438864308733615,1.7163333800458686e9,1.200530695534892e9,6539.987429472731
8.7885,2.288548731707507,1.0317822910233563,2.2845720294987626e9,1.6027517877545056e9,4791.781800990046
8.748000000000005,2.288548731707507,1.032016692832148,2.330183590568836e9,1.6346564932093937e9,4826.025925723247
8.724499999999999,2.288548731707507,1.033563615215975,2.1679647699828897e9,1.520279149062973e9,5051.62872942838
9.261999999999999,2.288548731707507,1.0239053888103138,2.81771131523916e9,1.9806210601281312e9,3631.916759337922
9.295476190476194,2.288548731707507,1.0230635498708756,2.8497038783593674e9,2.003525945038307e9,3506.9005077535217
9.275999999999998,2.288548731707507,1.022774916705374,2.773481042842611e9,1.9500754818269646e9,3463.990019570543
9.839500000000001,2.288548731707507,1.0176759064519187,3.5074094158403425e9,2.46922553521589e9,2701.9176295844427
9.8015,2.288548731707507,1.0162935308044507,3.6124220160436873e9,2.544026331476047e9,2493.997123308827
9.802,2.288548731707507,1.0167801654743849,3.557740087343657e9,2.505214614372113e9,2567.2554041996787
10.222000000000001,2.288548731707507,1.0143609079508322,3.9653695220235853e9,2.793926789693351e9,2202.3650071129982
10.319999999999995,2.288548731707507,1.0139326301575315,4.1602268200547476e9,2.931531331836503e9,2137.587555858514
10.287,2.288548731707507,1.0140929460398822,4.0849167633805633e9,2.87834904162588e9,2161.8419031305248
10.905999999999997,2.288548731707507,1.0114809273879048,4.994679847847096e9,3.5216784214210477e9,1765.7091819942032
10.810500000000001,2.288548731707507,1.0111569494140176,4.971151411539453e9,3.5053711589514484e9,1716.4327652764266
10.814,2.288548731707507,1.0113176497744263,4.828623020556912e9,3.4047322797446547e9,1740.8789222616567
11.342000000000004,2.288548731707507,1.0097530882770667,5.622105790505141e9,3.965771259655848e9,1502.5428572069802
11.325499999999998,2.288548731707507,1.0097931394542812,5.708033589599877e9,4.0263436599056644e9,1508.653228252864
10.993999999999998,2.288548731707507,1.009689807567838,5.727849116873066e9,4.0404250433906918e9,1492.887505926901
11.906,2.288548731707507,1.0078477716316843,6.686144896968718e9,4.718569895533458e9,1211.298892249684
11.8995,2.288548731707507,1.0076457445059273,7.46922763523795e9,5.271475034817381e9,1180.3527317659718
11.911000000000001,2.288548731707507,1.0076433612917157,7.63312044878772e9,5.387147069431171e9,1179.9876011412466
12.319499999999998,2.288548731707507,1.006968573414167,8.180033858290311e9,5.774106836842363e9,1076.5342863918286
12.427500000000002,2.288548731707507,1.0067122488298192,8.565700815857911e9,6.046726847916961e9,1037.2002155629955
12.4975,2.288548731707507,1.0067614452236995,8.339052335899284e9,5.886658271871059e9,1044.7511594846528
12.906999999999998,2.288548731707507,1.0054608711636728,9.281709102200623e9,6.554217612292325e9,844.8831711234616
12.912,2.288548731707507,1.0059261254722567,9.014930973833208e9,6.36509570972762e9,916.4413114141372
12.945499999999997,2.288548731707507,1.0054055742113446,1.0034769191138199e10,7.08608371664833e9,836.3738554253556
13.486500000000001,2.288548731707507,1.0051579401404713,1.0433895054129278e10,7.3683826458909645e9,798.2554518334458
13.4695,2.288548731707507,1.0047572869708428,1.0583731986741274e10,7.474943825193215e9,736.5429697860769
13.4145,2.288548731707507,1.0045483545774945,1.1553648606085081e10,8.16038946020189e9,704.3416500416146
13.947500000000002,2.288548731707507,1.0043019702046398,1.1244446070609549e10,7.942486570610916e9,666.3508971110434
13.978500000000004,2.288548731707507,1.0039250559029769,1.1968779697740877e10,8.454912851940388e9,608.1972560167974
13.995000000000006,2.288548731707507,1.0039821741747799,1.2685937204451654e10,8.9613952002753e9,617.012770568159
14.503000000000002,2.288548731707507,1.0039849036913928,1.3359671766202898e10,9.437317478443508e9,617.4340133388827
14.513999999999998,2.288548731707507,1.0036441800225233,1.294928809835348e10,9.148198798119822e9,564.8328615772957
14.552999999999999,2.288548731707507,1.0036042975182173,1.2538164307886566e10,8.857843023091442e9,558.6734384246367
14.987000000000004,2.288548731707507,1.0031420910829087,1.5116322720748447e10,1.0680467844335976e10,487.25490539076185
14.925000000000004,2.288548731707507,1.0032176168351068,1.4623777073181654e10,1.033226395853542e10,498.9293803835172
14.933,2.288548731707507,1.0030026788524367,1.3199867179172335e10,9.32671693508371e9,465.7004907820336
7.200748571428571,22.885487317075068,2.411690773235748,1.2025334414941735e9,6.510469851389506e8,91057.94766760693
7.222657142857145,22.885487317075068,2.412949264388372,1.1774502910911555e9,6.373495232176805e8,91091.58954764233
7.167973333333331,22.885487317075068,2.434727658859886,1.2112021266457148e9,6.535374376407977e8,91668.25931477833
7.723495238095239,22.885487317075068,1.9215205678843201,1.5776045482696934e9,9.229829438456864e8,74603.6195497606
7.7142552380952365,22.885487317075068,1.904621350419395,1.5121587705591645e9,8.872635287352352e8,73885.30806198966
7.726542857142856,22.885487317075068,1.9083427886385271,1.5315681669063728e9,8.980769184443787e8,74044.58235291393
8.237500000000002,22.885487317075068,1.6340150601777514,1.9544413287422814e9,1.204241281580898e9,60359.19268872723
8.284,22.885487317075068,1.6355627039501999,1.920726236885524e9,1.1831199899231277e9,60449.276687110054
8.241000000000001,22.885487317075068,1.629243814614514,1.9522821418358197e9,1.2040018416288729e9,60080.39476410409
8.753,22.885487317075068,1.4491622068348824,2.4456930213080025e9,1.5627631777744565e9,48215.43738743164
