# power_maxi = 0.03
# antistokes_power = 0.009
# window_length = 1.5
# polyorder = 1
# deriv_max = 3.0e7
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1908-57_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
4.4270026560370556e-5,74842.31531206502,-1.3334838916334122e7,76547.39860984744
4.4270026560370556e-5,74192.31531206502,-1.3334838916334122e7,76547.39860984744
4.4270026560370556e-5,72542.31531206502,-1.3334838916334122e7,76547.39860984744
4.912077587147815e-5,77239.48525999516,1.8643181336845666e7,76671.63597094174
4.912077587147815e-5,74789.48525999516,1.8643181336845666e7,76671.63597094174
4.912077587147815e-5,78289.48525999516,1.8643181336845666e7,76671.63597094174
5.3971525183799026e-5,78936.65520792459,2.2391889147072665e7,76961.15851901188
5.3971525183799026e-5,78986.65520792459,2.2391889147072665e7,76961.15851901188
5.3971525183799026e-5,73736.65520792459,2.2391889147072665e7,76961.15851901188
5.3971525183799026e-5,78636.65520792459,2.2391889147072665e7,76961.15851901188
5.882227449733368e-5,77383.8251558533,8.073248117202713e6,76930.9118445393
5.882227449733368e-5,76683.8251558533,8.073248117202713e6,76930.9118445393
6.367302381208262e-5,69430.99510378132,1.2319761664511006e7,76785.44139691876
6.367302381208262e-5,74430.99510378132,1.2319761664511006e7,76785.44139691876
6.85237731280464e-5,79828.16505170861,-3.7561288559911735e6,76652.79077750395
6.85237731280464e-5,80778.16505170861,-3.7561288559911735e6,76652.79077750395
7.337452244522546e-5,76375.3349996352,-6.521125962869085e6,76619.32831761552
7.337452244522546e-5,75725.3349996352,-6.521125962869085e6,76619.32831761552
7.337452244522546e-5,75775.3349996352,-6.521125962869085e6,76619.32831761552
7.822527176362037e-5,80422.50494756109,-3.718317325008842e7,76701.18603663414
7.822527176362037e-5,77422.50494756109,-3.718317325008842e7,76701.18603663414
7.822527176362037e-5,77172.50494756109,-3.718317325008842e7,76701.18603663414
7.822527176362037e-5,75422.50494756109,-3.718317325008842e7,76701.18603663414
8.30760210832316e-5,82619.67489548626,-4.4184359576209396e7,76543.15853876922
8.30760210832316e-5,75219.67489548626,-4.4184359576209396e7,76543.15853876922
8.30760210832316e-5,78969.67489548626,-4.4184359576209396e7,76543.15853876922
8.30760210832316e-5,73619.67489548626,-4.4184359576209396e7,76543.15853876922
8.792677040405968e-5,75366.84484341073,-3.980992216735617e7,76328.06725321015
8.792677040405968e-5,78616.84484341073,-3.980992216735617e7,76328.06725321015
9.277751972610513e-5,77514.01479133447,-3.1922407364542138e7,76135.43584429956
9.277751972610513e-5,74614.01479133447,-3.1922407364542138e7,76135.43584429956
9.277751972610513e-5,81114.01479133447,-3.1922407364542138e7,76135.43584429956
9.762826904936842e-5,73461.18473925751,-2.2279494997213703e7,76349.13972086704
9.762826904936842e-5,76361.18473925751,-2.2279494997213703e7,76349.13972086704
9.762826904936842e-5,80761.18473925751,-2.2279494997213703e7,76349.13972086704
9.762826904936842e-5,72011.18473925751,-2.2279494997213703e7,76349.13972086704
9.762826904936842e-5,76711.18473925751,-2.2279494997213703e7,76349.13972086704
0.00010247901837385012,76808.35468717985,-2.3447124530690826e7,76230.81191046743
0.00010247901837385012,74858.35468717985,-2.3447124530690826e7,76230.81191046743
0.00010247901837385012,75458.35468717985,-2.3447124530690826e7,76230.81191046743
0.00010247901837385012,76808.35468717985,-2.3447124530690826e7,76230.81191046743
0.00010732976769955067,73805.52463510146,-2.5642775579112202e7,76105.55925140002
0.00010732976769955067,76255.52463510146,-2.5642775579112202e7,76105.55925140002
0.00011218051702647064,75402.69458302238,-1.043593319083175e7,76066.55089897219
0.00011218051702647064,73402.69458302238,-1.043593319083175e7,76066.55089897219
0.00011218051702647064,79302.69458302238,-1.043593319083175e7,76066.55089897219
0.00011218051702647064,70602.69458302238,-1.043593319083175e7,76066.55089897219
0.00011218051702647064,71502.69458302238,-1.043593319083175e7,76066.55089897219
0.00011218051702647064,75702.69458302238,-1.043593319083175e7,76066.55089897219
0.00011218051702647064,74952.69458302238,-1.043593319083175e7,76066.55089897219
0.0001170312663546105,73349.86453094258,-9.988098341249574e6,76007.99234735612
0.0001170312663546105,74449.86453094258,-9.988098341249574e6,76007.99234735612
0.0001170312663546105,80599.86453094258,-9.988098341249574e6,76007.99234735612
0.0001170312663546105,73399.86453094258,-9.988098341249574e6,76007.99234735612
0.00012188201568397073,75797.03447886207,-8.172510477810525e6,75826.99059390744
0.00012673276501455198,72044.20442678084,-5.281032162104706e6,75588.76655146368
0.00012673276501455198,70894.20442678084,-5.281032162104706e6,75588.76655146368
0.0001315835143463546,76041.37437469889,-3.269148063033147e6,75584.52427519414
0.00013643426367937917,77838.54432261625,-9.229550713437995e6,75567.73271966941
0.00013643426367937917,75388.54432261625,-9.229550713437995e6,75567.73271966941
0.00014128501301362626,76385.71427053287,-5.285766900474139e6,75495.07079933124
0.00014128501301362626,76285.71427053287,-5.285766900474139e6,75495.07079933124
0.00014128501301362626,78085.71427053287,-5.285766900474139e6,75495.07079933124
0.00014128501301362626,74385.71427053287,-5.285766900474139e6,75495.07079933124
0.00014613576234909613,78332.8842184488,-5.914389538108124e6,75461.54435431336
0.00014613576234909613,80782.8842184488,-5.914389538108124e6,75461.54435431336
0.00014613576234909613,74632.8842184488,-5.914389538108124e6,75461.54435431336
0.00015098651168578972,75280.054166364,-5.3484273185937125e6,75315.0937446594
0.00015098651168578972,73130.054166364,-5.3484273185937125e6,75315.0937446594
0.00015098651168578972,76430.054166364,-5.3484273185937125e6,75315.0937446594
0.0001558372610237072,74827.2241142785,-3.123544393816371e6,75268.7612662914
0.0001558372610237072,77127.2241142785,-3.123544393816371e6,75268.7612662914
0.00016068801036284904,72824.39406219228,45427.65117516944,75290.83202979964
0.00016068801036284904,75474.39406219228,45427.65117516944,75290.83202979964
0.0001655387597032161,72671.56401010534,2.816339144245025e6,75326.62472541282
0.0001655387597032161,83971.56401010534,2.816339144245025e6,75326.62472541282
0.00017038950904480854,76418.73395801769,-1.1940538957420108e6,75416.91691542139
0.00017038950904480854,75368.73395801769,-1.1940538957420108e6,75416.91691542139
0.00017038950904480854,74068.73395801769,-1.1940538957420108e6,75416.91691542139
0.00017038950904480854,70618.73395801769,-1.1940538957420108e6,75416.91691542139
0.00017524025838762695,76965.90390592933,-3.4558974085372193e6,75391.81326435544
0.00017524025838762695,76615.90390592933,-3.4558974085372193e6,75391.81326435544
0.00017524025838762695,75415.90390592933,-3.4558974085372193e6,75391.81326435544
0.000180091007731672,78563.07385384025,-4.9571590654196525e6,75342.9358405545
0.000180091007731672,73413.07385384025,-4.9571590654196525e6,75342.9358405545
0.000180091007731672,74763.07385384025,-4.9571590654196525e6,75342.9358405545
0.000180091007731672,76813.07385384025,-4.9571590654196525e6,75342.9358405545
0.000180091007731672,75563.07385384025,-4.9571590654196525e6,75342.9358405545
0.000180091007731672,74513.07385384025,-4.9571590654196525e6,75342.9358405545
0.000180091007731672,75763.07385384025,-4.9571590654196525e6,75342.9358405545
0.00018494175707694407,74010.24380175045,-4.263152514942668e6,75378.94068981528
0.00018494175707694407,74210.24380175045,-4.263152514942668e6,75378.94068981528
0.00018979250642344364,73507.41374965993,-2.870842750519011e6,75370.15525588833
0.00018979250642344364,75857.41374965993,-2.870842750519011e6,75370.15525588833
0.00018979250642344364,74807.41374965993,-2.870842750519011e6,75370.15525588833
0.00019464325577117132,74104.5836975687,-6.022294895411482e6,75394.48224564063
0.00019464325577117132,76004.5836975687,-6.022294895411482e6,75394.48224564063
0.00019464325577117132,74254.5836975687,-6.022294895411482e6,75394.48224564063
0.00019949400512012772,78351.75364547675,-6.2192167155158715e6,75458.7243763617
0.00020434475447031293,72748.9235933841,-7.881754849340555e6,75411.60682139262
0.00020434475447031293,77498.9235933841,-7.881754849340555e6,75411.60682139262
0.00020434475447031293,73748.9235933841,-7.881754849340555e6,75411.60682139262
0.00020434475447031293,72298.9235933841,-7.881754849340555e6,75411.60682139262
0.00020434475447031293,76298.9235933841,-7.881754849340555e6,75411.60682139262
0.00020434475447031293,74198.9235933841,-7.881754849340555e6,75411.60682139262
0.00020919550382172793,72596.09354129071,-8.76910675648017e6,75329.89655382677
0.00020919550382172793,74696.09354129071,-8.76910675648017e6,75329.89655382677
0.00020919550382172793,79246.09354129071,-8.76910675648017e6,75329.89655382677
0.00020919550382172793,75146.09354129071,-8.76910675648017e6,75329.89655382677
0.00021404625317437295,74843.26348919662,-9.832226973562246e6,75237.90297663493
0.00021404625317437295,72493.26348919662,-9.832226973562246e6,75237.90297663493
0.00021404625317437295,76593.26348919662,-9.832226973562246e6,75237.90297663493
0.0002188970025282485,76790.43343710179,-8.340367880857582e6,75208.05098354004
0.00022374775188335532,73287.60338500625,-6.83265792706918e6,75088.77613217822
0.00022374775188335532,76337.60338500625,-6.83265792706918e6,75088.77613217822
0.00022374775188335532,74487.60338500625,-6.83265792706918e6,75088.77613217822
0.00022374775188335532,77187.60338500625,-6.83265792706918e6,75088.77613217822
0.0002285985012396937,67834.77333291,-9.669920585845878e6,75089.48649235563
0.0002285985012396937,75984.77333291,-9.669920585845878e6,75089.48649235563
0.0002285985012396937,75834.77333291,-9.669920585845878e6,75089.48649235563
0.00023344925059726426,76081.94328081302,-1.0149685444182066e7,75037.46308938852
0.00023344925059726426,73431.94328081302,-1.0149685444182066e7,75037.46308938852
0.00023344925059726426,72281.94328081302,-1.0149685444182066e7,75037.46308938852
0.0002382999999560676,78379.11322871533,-1.0368690420271609e7,74992.10903309978
0.0002382999999560676,76929.11322871533,-1.0368690420271609e7,74992.10903309978
0.0002382999999560676,78379.11322871533,-1.0368690420271609e7,74992.10903309978
0.00024315074931610396,76576.28317661693,-9.302065199234156e6,74976.6302005686
0.00024315074931610396,81876.28317661693,-9.302065199234156e6,74976.6302005686
0.00024315074931610396,75326.28317661693,-9.302065199234156e6,74976.6302005686
0.00024315074931610396,74326.28317661693,-9.302065199234156e6,74976.6302005686
0.00024800149867737384,76273.4531245178,-9.94898871976684e6,74922.50914614303
0.00024800149867737384,76423.4531245178,-9.94898871976684e6,74922.50914614303
0.00024800149867737384,71073.4531245178,-9.94898871976684e6,74922.50914614303
0.00024800149867737384,81273.4531245178,-9.94898871976684e6,74922.50914614303
0.00025285224803987805,73270.62307241795,-1.0314047920407938e7,74913.67896777313
0.00025770299740361695,72017.79302031737,-9.883370830811996e6,74779.57339435712
0.00025770299740361695,74867.79302031737,-9.883370830811996e6,74779.57339435712
0.00025770299740361695,72067.79302031737,-9.883370830811996e6,74779.57339435712
0.0002625537467685912,74414.96296821607,-1.1468430371977147e7,74705.12594221791
0.0002625537467685912,75264.96296821607,-1.1468430371977147e7,74705.12594221791
0.0002625537467685912,77264.96296821607,-1.1468430371977147e7,74705.12594221791
0.0002674044961348009,72462.13291611406,-1.2167925911894899e7,74676.90175800258
0.0002674044961348009,71912.13291611406,-1.2167925911894899e7,74676.90175800258
0.0002674044961348009,75912.13291611406,-1.2167925911894899e7,74676.90175800258
0.0002674044961348009,72312.13291611406,-1.2167925911894899e7,74676.90175800258
0.0002674044961348009,76562.13291611406,-1.2167925911894899e7,74676.90175800258
0.0002674044961348009,70712.13291611406,-1.2167925911894899e7,74676.90175800258
0.0002674044961348009,77762.13291611406,-1.2167925911894899e7,74676.90175800258
0.000272255245502247,75109.30286401133,-1.2868282967715684e7,74625.3944709756
0.000272255245502247,79259.30286401133,-1.2868282967715684e7,74625.3944709756
0.000272255245502247,77459.30286401133,-1.2868282967715684e7,74625.3944709756
0.000272255245502247,74459.30286401133,-1.2868282967715684e7,74625.3944709756
0.000272255245502247,72109.30286401133,-1.2868282967715684e7,74625.3944709756
0.000272255245502247,76059.30286401133,-1.2868282967715684e7,74625.3944709756
0.000272255245502247,76459.30286401133,-1.2868282967715684e7,74625.3944709756
0.0002819567442408497,73803.6427598037,-1.4337220904360235e7,74496.48568330365
0.0002819567442408497,75553.6427598037,-1.4337220904360235e7,74496.48568330365
0.0002819567442408497,77303.6427598037,-1.4337220904360235e7,74496.48568330365
0.0002868074936120074,76150.8127076988,-1.5301553255140586e7,74460.12855451695
0.0002868074936120074,74750.8127076988,-1.5301553255140586e7,74460.12855451695
0.0002868074936120074,76600.8127076988,-1.5301553255140586e7,74460.12855451695
0.0002868074936120074,71600.8127076988,-1.5301553255140586e7,74460.12855451695
0.0002916582429844034,69547.98265559318,-1.6364705845409902e7,74367.10160734854
0.0002916582429844034,74347.98265559318,-1.6364705845409902e7,74367.10160734854
0.0002916582429844034,78747.98265559318,-1.6364705845409902e7,74367.10160734854
0.0002916582429844034,73047.98265559318,-1.6364705845409902e7,74367.10160734854
0.00029650899235803837,75195.15260348683,-1.6275953164843682e7,74323.5154606513
0.00029650899235803837,75995.15260348683,-1.6275953164843682e7,74323.5154606513
0.00029650899235803837,76295.15260348683,-1.6275953164843682e7,74323.5154606513
0.00029650899235803837,78495.15260348683,-1.6275953164843682e7,74323.5154606513
0.00029650899235803837,72245.15260348683,-1.6275953164843682e7,74323.5154606513
0.0003013597417329123,76192.32255137977,-1.5815478459554067e7,74272.74790879156
0.0003013597417329123,73642.32255137977,-1.5815478459554067e7,74272.74790879156
0.0003013597417329123,73192.32255137977,-1.5815478459554067e7,74272.74790879156
0.0003013597417329123,75992.32255137977,-1.5815478459554067e7,74272.74790879156
0.0003062104911090262,74789.49249927196,-1.6632176376368536e7,74178.62251877286
0.0003110612404863804,70336.66244716346,-1.563522195486268e7,74165.72571960156
0.0003110612404863804,76386.66244716346,-1.563522195486268e7,74165.72571960156
0.0003110612404863804,73036.66244716346,-1.563522195486268e7,74165.72571960156
0.0003110612404863804,67886.66244716346,-1.563522195486268e7,74165.72571960156
0.0003110612404863804,77786.66244716346,-1.563522195486268e7,74165.72571960156
0.0003159119898649753,72083.83239505421,-1.5326738023114854e7,74121.79499547752
0.0003159119898649753,75533.83239505421,-1.5326738023114854e7,74121.79499547752
0.0003159119898649753,71233.83239505421,-1.5326738023114854e7,74121.79499547752
0.0003159119898649753,74033.83239505421,-1.5326738023114854e7,74121.79499547752
0.0003159119898649753,75033.83239505421,-1.5326738023114854e7,74121.79499547752
0.0003159119898649753,76233.83239505421,-1.5326738023114854e7,74121.79499547752
0.0003207627392448116,73781.00234294425,-1.519200740790957e7,74052.12805052211
0.0003207627392448116,69581.00234294425,-1.519200740790957e7,74052.12805052211
0.00032561348862588974,72428.17229083357,-1.5739599712724393e7,74016.01386714564
0.00032561348862588974,77578.17229083357,-1.5739599712724393e7,74016.01386714564
0.00032561348862588974,76228.17229083357,-1.5739599712724393e7,74016.01386714564
0.00032561348862588974,70828.17229083357,-1.5739599712724393e7,74016.01386714564
0.00032561348862588974,75528.17229083357,-1.5739599712724393e7,74016.01386714564
0.00032561348862588974,77028.17229083357,-1.5739599712724393e7,74016.01386714564
0.00033046423800821024,74575.34223872215,-1.5249028913618175e7,73941.86088168026
0.00033046423800821024,72925.34223872215,-1.5249028913618175e7,73941.86088168026
